Date,Subject,From,Message
2024-09-24 01:52:59-05:00,"Urgent Need--UPN Engineer, 100% Remote","""SAPNA, ITECS"" <phmailadmin@scentricopowerhousesmtpdist3.email>","Urgent Need from IBM. Need resumes asap. Any visa. 100% Remote UPN EngineerBill Rate: $60/Per Hour.End client: Truist REMOTE Subject Matter Expert for Microsoft Active Directory and Microsoft Entra IDExperience with Active Directory forests and trustsDeep knowledge of Azure Active Directory/Entra ID Synchronization (e.g., dependencies on UPN, Alternate ID sync method, etc.)Group Policy Objects (GPO), DHCP, DNSStrong PowerShell scripting experienceUPN prefix and suffix changesBulk UPN change rollout - create a procedure to change UPNs for individual users. Prepare documentation about known issues and workaroundsCoordinate with stakeholders for SaaS and LoB apps issues (caused by UPN changes)Managed devices issues including Microsoft Entra joined devices/hybrid joined devicesMeet/collaborate with testers to ensure the impact of UPN changes are validatedAbility to troubleshoot and fix issues with UPN changes"
2024-09-24 01:41:13-05:00,"Opening for Guidewire Automation (Claims Center)  Location: San Antonio, TX or Plano, TX  (Day 1 onsite)","""Rahman, Webster Tech Solutions INC"" <phmailadmin@prohirespowerhouse.com>","Position: Guidewire Automation (Claims Center)Location: San Antonio, TX / Plano, TX – (Day 1 onsite) Mandatory Skill-Set - Automation, Selenium, Cucumber, Unit Testing, Functional Testing, JMeter/Junit, Guidewire Claims Center experience, Test Integration, Claims Center Migration. Job Description:Analyze and identify the topics/events in Guidewire.Analyze the Automation approach for QA automation, Selenium , Unit/Functional testing using Junit/JMeter.Must be hands on experience with Guidewire Claims Center. Good to have hands on experience in GTUI Framework.Prepare Test Data strategy based on Claim Center and legacy system.Strong expertise in Testing integrations and core functionalitiesExpertise in claims center migration, must be hands on with post migrations experience.Knowledge and experience on basic SQL queries.Strong automation expertise working Selenium, Jmeter and TDD.Perform validation between Guidewire Data model and customer specific data model.Prepare Estimation for different testing types and share with the stake holders.Coordinate with Offshore, Onshore, and other stake holders to complete the deliverables.Need to have experience in End-to-end testing for Claim Center."
2024-09-24 01:18:17-05:00,"Opening for Data Science or Machine Learning Engineer  Location: Charlotte, NC - 5 days onsite - need local or nearby only","""Rahman, Webster Tech Solutions INC"" <phmailadmin@scentricopowerhousesmtpdist3.email>","Position: Data Science or Machine Learning Engineer Location: Charlotte, NC - 5 days onsite - need local or nearby only Job Description:Python Strong in Data science and Machine Learning , must know time series algos, Anomalies detection and prediction algos like Radom forest isolation, LSTM etc. Strong understanding of frameworks like BERT, GPT or transformer models, Supervised and unsupervised ML techniques, frameworks like TensorFlow, PyTorch, etc,Experience with cloud platforms, Experience with MLOPS , Basic knowledge of deep learning and neural networks. To be responsible for providing technical guidance to a team of developers, enhancing their technical capabilities and increasing productivity.To conduct comprehensive code reviews, establish and oversee quality assurance processes, performance optimization , implementation of best practices and coding standards to ensure succeful delivery of complex projects. To ensure process compliance in the assigned module, and participate in technical discussionsorreview as a technical consultant for feasibility study (technical alternatives, best packages, supporting architecture best practices, technical risks, breakdown into components, estimations).To collaborate with stakeholders to define project scope, objectives, deliverables and accordingly prepare and submit status reports for minimizing exposure and closure of escalations."
2024-09-24 01:07:01-05:00,"Urgent Need--Release Engineer -Work location: Phoenix, AZ (Onsite)","""SAPNA, ITECS"" <phmailadmin@prohirespowerhouse.com>","Client-IBM Bill Rate: $55/hr C2C All Inc Release Engineer Skills requiredApplication Consultant DevOps, GitHub Actions, Docker, Kubernetes, Helms Chart Gradle, Java/Python (Java Preferred)"
2024-09-24 00:01:58-05:00,Manager Manufacturing Systems Engineering,"""rajkumar, NITYA Software Solutions Inc."" <phmailadmin@prohirespowerhouse.com>","Hi,I hope you are doing well.I am Raj from NITYA Software Solutions Inc.I've included below the job description, please let me know if you are interested, and reply with one updated resume, which I've expected.Role: Manager Manufacturing Systems EngineeringManufacturing concept and process solutions for production applications cover advanced technologies including but not limited to composites fabrication, assembly, automation, inspection, direct part manufacturing, LO technologies, as well as digital capabilities.The role requires incorporation of requirements into development plans and evaluation of performance of processes and tools to verify their efficiency.In addition, you will identify and initiate corrective action of problems and deficiencies to ensure R&D contractual obligations (technical, schedule, and cost) are met and product quality is maintained.In this role, you will provide guidance regarding design concepts, TRL/MRL maturity, and specification requirements to best utilize resources and manufacturing techniques, and ensure processes and procedures are in compliance with regulations.This role involves interfacing with internal and external customers, program offices, engineering disciplines, and executive management.In addition, the role will require the ability to handle multiple projects concurrently in a dynamic/fast-paced work environment.Budgeting and Project Management skills will be utilized to properly scope and execute assigned work and manage project efforts.Conducting performance assessments, staffing, employee development, communication meetings, compensation adjustments, training & educational oversight/ approval and other routine personnel issuesAssessing, prioritizing and adjusting staffing to current and projected program needsFacilitating engineering support, review and approval of Bid & Proposal (B&P) requestsThank you,RajkumarEMAIL ID:rajkumar.v@nityainc.comNITYA Software Solutions Inc."
2024-09-23 23:39:56-05:00,Financial Analyst,"""rajkumar, NITYA Software Solutions Inc."" <phmailadmin@prohirespowerhouse.com>","Hi,I hope you are doing well.I am Raj from NITYA Software Solutions Inc.I've included below the job description, please let me know if you are interested, and reply with one updated resume, which I've expected.Role: Financial Analyst Bachelor's degree required, preferably in an analytical field1-3 years of experience in a financial analysis and planning groupUnderstanding of GAAP and accounting methodologiesAnalytical ability: can synthesize large amounts of data, be able to correct errors, reconcile work, and be able to design analysis to answer specific questionsA detail-oriented approach: must pay close attention to the details and strive for correctnessStrong organizational skillsGeneral ledger and accounts payable research and reconciliation experience, a complete understanding of debits and credits, and accrual-based accountingAble to cope with pressure and changing priorities in a fast-paced and dynamic work environmentTrustworthy handling of confidential financial informationReliable attendance and timeliness; can ensure consistency in daily reportingExcellent communication skillsAble to work independently and exercise independent judgmentStrong Excel and Word skills; able to learn multiple new back-end software applications (i.e., PeopleSoft Financial Systems)Thank you,RajkumarEMAIL ID:rajkumar.v@nityainc.comNITYA Software Solutions Inc."
2024-09-23 23:25:28-05:00,"Looking for SAP Developer with Workzone, Ui5, Fiori BTP","""adam, rwaltz"" <phmailadmin@scentricopowerhousesmtpdist3.email>","UI Consultant – WorkzoneDuration: 4 monthsLocation: Jacksonville, FL - 100 % Remote- Offshore . UI design and implementation for Workzone to replace customer's enterprise portal."
2024-09-23 23:18:05-05:00,Digital Systems Engineer,"""rajkumar, NITYA Software Solutions Inc."" <phmailadmin@prohirespowerhouse.com>","Hi,I hope you are doing well.I am Raj from NITYA Software Solutions Inc.I've included below the job description, please let me know if you are interested, and reply with one updated resume, which I've expected.Role: Digital Systems EngineerConduct a detailed analysis of existing digital system representations, including software virtualization, hardware emulation, and modeling and simulation components.Develop a plan to update existing digital system representations and create new digital system representations.Integrate the digital system representations within a government owned IDEE to support system of systems (SoS) design, development, integration, test, and evaluation.Work closely with the US government representatives and stakeholders to obtain existing digital artifacts and justify the need for additional digital artifacts based on fidelity requirements.Development and implementation of a plan to verify and validate the individual digital system representations as well as the integrated SoS environment.Actively assist US government stakeholders in creation of digital representations of software defined antenna equipment and integration within the PNT SoS IDEE.Develop and implement a plan to periodically update and test the digital representations and the integrated SoS environment.Thank you,RajkumarEMAIL ID:rajkumar.v@nityainc.comNITYA Software Solutions Inc."
2024-09-23 20:29:39-05:00,Multiple openings on ServiceNow,"""Koti, Kreeyaa LLC"" <phmailadmin@scentricopowerhousesmtpdist1.email>","Hi,Hope you are doing good,We have Multiple openings on ServiceNow (Junior to Lead/Architect level)Kindly share only Genuine profiles.Candidates with ServiceNow certifications are given High priority.You can Reach me at Koti@kreeyaa.com"
2024-09-23 22:56:06-05:00,Software Engineering Intern,"""rajkumar, NITYA Software Solutions Inc."" <phmailadmin@prohirespowerhouse.com>","Hi,I hope you are doing well.I am Raj from NITYA Software Solutions Inc.I've included below the job description, please let me know if you are interested, and reply with one updated resume, which I've expected.Role: Software Engineering InternConstruct, troubleshoot, calibrate, adjust, test, and maintain equipment, components, devices, or systems.Work from engineering drawings and written or verbal instructions.Operate related equipment; conduct tests and report data in prescribed format.Perform calibration and alignment checks; make adjustments, modifications, and replacements as directed.Prepare prescribed compounds and solutions.Thank you,RajkumarEMAIL ID:rajkumar.v@nityainc.comNITYA Software Solutions Inc."
2024-09-23 22:34:06-05:00,Tools Programmer Intern,"""rajkumar, NITYA Software Solutions Inc."" <phmailadmin@prohirespowerhouse.com>","Hi,I hope you are doing well.I am Raj from NITYA Software Solutions Inc.I've included below the job description, please let me know if you are interested, and reply with one updated resume, which I've expected.Role: Tools Programmer InternStrong C++ skillsExperience collaborating with engineers and artistsExperience with debuggingExperience with developing on Windows machinesPrior experience with Unreal Engine is a plus but not requiredThank you,RajkumarEMAIL ID:rajkumar.v@nityainc.comNITYA Software Solutions Inc."
2024-09-23 22:18:39-05:00,Urgent hiring for :: Full-stack Engineers  ::  only Ex capital one,"""Roshan, Vyzeinc"" <phmailadmin@scentricopowerhousesmtpdist3.email>","Job Description -Title: Full-stack Engineers ( Need only Ex capital One)Client: Capital One Job IDs: 81415-1, 81416-1 & 81417-1 Duration: 6+ months Location: Hybrid Prefers Richmond VA but will also consider remote candidatesMOI:1 round viz zoom with the lead and sr eng then offer MUST HAVE ALL CANDIDATES MUST HAVE PRIOR CAPITAL ONE EXPERIENCE. DO NOT SEND ANY CANDIDATES WITHOUT IT. JavaScript/Typescript on the front-end, plus API and DB within AWS for middle- and back-end services. Strong AWS is required The format will primarily focus on technical skill with a coding challenge, with some time dedicated to understanding the candidate's problem solving thought processes"
2024-09-23 22:13:11-05:00,Machine Learning Engineer,"""rajkumar, NITYA Software Solutions Inc."" <phmailadmin@prohirespowerhouse.com>","Hi,I hope you are doing well.I am Raj from NITYA Software Solutions Inc.I've included below the job description, please let me know if you are interested, and reply with one updated resume, which I've expected.Role: Machine Learning Engineer4+ years of professional Client engineering experience at an AI/Client-focused organization.Familiarity with the state-of-the-art in behavior learning, language, and/or computer vision.Experience training large-scale foundation models (VLMs, text-to-video models, etc) utilizing distributed training and high-performance optimization techniques such as quantization, mixed precision, model parallelism, data parallelism or FSDP.Extensive practical experience with PyTorch.Strong proficiency in Python and software development best practices such as unit testing, documentation, code review, continuous integration, and dependency management.Familiarity with data pipelines, model serving and optimization, cloud training, and dataset management.An ability to move fast and switch between modes of rapid prototyping and robust implementation as required.Thank you,RajkumarEMAIL ID:rajkumar.v@nityainc.comNITYA Software Solutions Inc."
2024-09-23 18:17:14-05:00,F2P Consultant :: 15+ years,"""Manohar, Cloudingest"" <phmailadmin@scentricopowerhousesmtpdist1.email>","Title: Oracle Fusion Forecast to Planning (F2P) Solution and Implementation LeadLocation: Blair, Nebraska REMOTE but, need candidates who needs to travel to client locations. Experience: 15+ yearsrate: $67/hr on C2C Key Activities & ResponsibilitiesMust have 15+ Years of experience on implementing, roll outs and supporting Oracle Cloud – Forecast to Plan (F2P) Module.Must have experience on working on business process design, quick POC's & Demo's Strong delivery background in product modelling, Forecast and Planning modules.Complete understanding of Supply Planning , Demand Planning, Production Scheduling, GOPInterpret business requirements and help the business prioritize.Planning Collected Data Management: Manages data collection processes and verifies collected data.Determine the Root cause and provide/deploy permanent solutions preventing recurring issues and deploy them working closely with Business and IT Teams.Interact with business users, capture requirements, author Functional Designs, transition requirements/designs to Technical Developers and coordinate Build, Test and Deployment of new enhancements around F2P Cycle.Experience with production support, updating configurations, testing and deployments to production.Provide training to client teams on how to use Oracle custom/standard Forecasting and Planning solutions effectively.Should be capable to work independently to resolve issues against tickets from Users based on SLA.Make recommendations for system enhancements, upgrades, or scalability improvements as needed.Must be able to work collaboratively and support on-site team.Must have Good presentation and communication skill"
2024-09-23 21:54:18-05:00,ADA Tester,"""Anju Pathak, Tek Inspirations LLC"" <phmailadmin@scentricopowerhousesmtpdist3.email>","NEED A STRONG PROFILE Job Description -Web Accessibility/ADA TesterAtlanta, GA (Need Only Local candidates)HybridPhone/Skypecandidate Must have state client experienceMust have :Bachelor's degree in Computer Science or a related field. 4 years of Experience working with HTML5 and CSS Certified Professional Web Accessibility (CPWA)or Web Accessibility Specialist (INAS) certification. 5 years of experience with UAT methodologies to ensure digital product adheres to enterprise conformance levels (WCAG 2.0, 2.1levelAA)within agile projects 3 years of experience with In-depth, working knowledge of ADA tools and standards for accessibility test ng (WAVE, JAWS, axe ,ANDI ,and other automated tools or applications). Duties and Responsibilities: • As a Web Accessibility Specialist, you will lead all testing and audit activities using manual and automated accessibility testing tools and assistive technologies.• Conduct accessibility testing using a combination of automated tools and manual testing (including testing with assistive technologies) to evaluate the level of conformance to the Web Content Accessibility Guidelines (WCAG) and other applicable standards and regulatory requirements.• Create, document, and manage test plans, testcases, and scripts across multiple projects based on software requirements and design documents.• Conduct functional, end-to-end, and regression testing of applications to ensure functionality, reliability, and quality.• Create and maintain test scripts, standards, guidelines, and playbooks for accessibility testing and development best practices.• Document and report defects, issues, and areas of improvement as well as manage and prioritize critical ADA defects.• Collaborate with Business Analysts and Clients to understand requirements and provide feedback.• Act as a subject matter expert for testing web and mobile applications for accessibility.• Participate in system designs, Support, and foster usability testing and research for accessibility. Provide ad-hoc, project-based team training for ADA awareness, implement solutions, and foster innovation through accessibility. Preferred Qualifications: • Bachelor’s degree in computer science, IT, MIS, Engineering, or related fields.• 7+ years of experience as a Quality Analyst with demonstrated knowledge of quality assurance methodology and practices.• Hands-on experience with automated test tools and test management tools like Jira or GitLab.• In-depth, working knowledge of ADA tools and standards for accessibility testing (i.e., WAVE, JAWS, axe, ANDI, and other automated tools or applications).• 5+ years of experience in User Acceptance Testing (UAT) methodologies to ensure digital products adhere to enterprise conformance levels (WCAG 2.0, 2.1 level AA) within agile projects.• Ability to provide solutions for testers and development teams by applying best practices. Ability to provide direction and lead QA testers.• Ability to effectively utilize assistive technologies such as JAWS, NVDA, Voiceover, TalkBack, and other manual and automated testing tools across multiple devices, browsers, and operating systems.• Certified Professional in Web Accessibility (CPWA) or Web Accessibility Specialist (WAS) certification.• Working knowledge of HTML5 and CSS."
2024-09-23 21:52:08-05:00,CNC Maintenance Technician,"""rajkumar, NITYA Software Solutions Inc."" <phmailadmin@prohirespowerhouse.com>","Hi,I hope you are doing well.I am Raj from NITYA Software Solutions Inc.I've included below the job description, please let me know if you are interested, and reply with one updated resume, which I've expected.Role: CNC Maintenance TechnicianPerform machine maintenance activities in order to ensure that equipment and facilities are safe and reliable to a high-performance standard.Responsible for troubleshooting and repairing mechanical and electrical problems by interpreting machine error messages and information obtained from operators.The ideal candidate has prior field maintenance experience with large CNC machines utilized to support our military customers.Recognizing machine issues proactively and provide preventive maintenance in partnership with machine operators (e.g., maintain oil/grease levels; air, hydraulic, hydrostatic, coolant system maintenance).Respond with a sense of urgency to equipment issued to minimize downtown. Actively troubleshooting CNC machines and controls issues (electrical/ electronic, hardware/software) so the equipment can resume operation as soon as possible.Perform auxiliary equipment maintenance, including air compressors & air systems, vacuum units and waste oil systems.Provide test equipment maintenance for Assembly & Test building equipment.Partner with onsite vendors to oversee and support projects, acting as project liaison between vendor and site leadership.Contribute to part management onsite, including part inventory, ordering, and tracking.Thank you,RajkumarEMAIL ID:rajkumar.v@nityainc.comNITYA Software Solutions Inc."
2024-09-23 10:52:20-05:00,Project Manager,"""Koushik, Tanprotech"" <phmailadmin@scentricopowerhousesmtpdist2.email>",Project ManagerExp : 8+Visa : Any(Except H1B)Location : HoustonMax rate : $55/hr C2C
